"id","uri","additional.name","given.name","family.name","full.name","birth.date","gender","constituency","party"
"1431","http://lda.data.parliament.uk/members/1431.csv","Lesley","Annette","Brooke","Annette Brooke","1947-06-07","Female","Mid Dorset and North Poole","Liberal Democrat"
"4115","http://lda.data.parliament.uk/members/4115.csv",NA,"Margot","James","Margot James","1957-08-28","Female","Stourbridge","Conservative"
"441","http://lda.data.parliament.uk/members/441.csv",NA,"Ivan","Lewis","Mr Ivan Lewis","1967-03-04","Male","Bury South","Labour"
"1488","http://lda.data.parliament.uk/members/1488.csv","Phillip Victor","Brooks","Newmark","Mr Brooks Newmark","1958-05-08","Male","Braintree","Conservative"
"588","http://lda.data.parliament.uk/members/588.csv","Leslie","Russell","Brown","Mr Russell Brown","1951-09-17","Male","Dumfries and Galloway","Labour"
"4107","http://lda.data.parliament.uk/members/4107.csv",NA,"Harriett","Baldwin","Harriett Baldwin","1960-05-02","Female","West Worcestershire","Conservative"
"3926","http://lda.data.parliament.uk/members/3926.csv",NA,"Paul","Maynard","Paul Maynard","1975-12-16","Male","Blackpool North and Cleveleys","Conservative"
"3998","http://lda.data.parliament.uk/members/3998.csv",NA,"Mark","Menzies","Mark Menzies","1971-05-18","Male","Fylde","Conservative"
"328","http://lda.data.parliament.uk/members/328.csv","Mary","Margaret","Beckett","Margaret Beckett","1943-01-15","Female","Derby South","Labour"
"4047","http://lda.data.parliament.uk/members/4047.csv",NA,"Tom","Greatrex","Tom Greatrex","1974-09-30","Male","Rutherglen and Hamilton West","Labour (Co-op)"
"1446","http://lda.data.parliament.uk/members/1446.csv","John","Christopher","Bryant","Chris Bryant","1962-01-11","Male","Rhondda","Labour"
"14","http://lda.data.parliament.uk/members/14.csv","Alan","John","Redwood","Mr John Redwood","1951-06-15","Male","Wokingham","Conservative"
"61","http://lda.data.parliament.uk/members/61.csv","Yorke","John","Denham","Mr John Denham","1953-07-15","Male","Southampton, Itchen","Labour"
"1608","http://lda.data.parliament.uk/members/1608.csv","Allan","Lindsay","Roy","Lindsay Roy","1949-01-19","Male","Glenrothes","Labour"
"3960","http://lda.data.parliament.uk/members/3960.csv",NA,"Henry","Smith","Henry Smith","1969-05-14","Male","Crawley","Conservative"
"190","http://lda.data.parliament.uk/members/190.csv","Mary","Joan","Ruddock","Dame Joan Ruddock","1943-12-28","Female","Lewisham, Deptford","Labour"
"4054","http://lda.data.parliament.uk/members/4054.csv",NA,"Stephen","Phillips","Stephen Phillips","1970-03-09","Male","Sleaford and North Hykeham","Conservative"
"171","http://lda.data.parliament.uk/members/171.csv","Richard Nicolls","Wyvill","Raynsford","Mr Nick Raynsford","1945-01-28","Male","Greenwich and Woolwich","Labour"
"4041","http://lda.data.parliament.uk/members/4041.csv",NA,"Glyn","Davies","Glyn Davies","1944-02-16","Male","Montgomeryshire","Conservative"
"3920","http://lda.data.parliament.uk/members/3920.csv",NA,"Naomi","Long","Naomi Long","1971-12-13","Female","Belfast East","Alliance"
"3996","http://lda.data.parliament.uk/members/3996.csv",NA,"Andrew","Jones","Andrew Jones","1963-11-28","Male","Harrogate and Knaresborough","Conservative"
"1408","http://lda.data.parliament.uk/members/1408.csv","George William","Hugo","Swire","Mr Hugo Swire","1959-11-30","Male","East Devon","Conservative"
"1458","http://lda.data.parliament.uk/members/1458.csv","Gideon Oliver","George","Osborne","Mr George Osborne","1971-05-23","Male","Tatton","Conservative"
"4140","http://lda.data.parliament.uk/members/4140.csv",NA,"David","Nuttall","Mr David Nuttall","1962-03-25","Male","Bury North","Conservative"
"3948","http://lda.data.parliament.uk/members/3948.csv",NA,"Rebecca","Harris","Rebecca Harris","1967-12-22","Female","Castle Point","Conservative"
"247","http://lda.data.parliament.uk/members/247.csv",NA,"Oliver","Letwin","Mr Oliver Letwin","1956-05-19","Male","West Dorset","Conservative"
"1171","http://lda.data.parliament.uk/members/1171.csv","Dominic","Liam","Byrne","Mr Liam Byrne","1970-10-02","Male","Birmingham, Hodge Hill","Labour"
"4006","http://lda.data.parliament.uk/members/4006.csv",NA,"Matthew","Offord","Dr Matthew Offord","1969-09-03","Male","Hendon","Conservative"
"4128","http://lda.data.parliament.uk/members/4128.csv",NA,"Chuka","Umunna","Mr Chuka Umunna","1978-10-17","Male","Streatham","Labour"
"95","http://lda.data.parliament.uk/members/95.csv","David","Andrew","Smith","Mr Andrew Smith","1951-02-01","Male","Oxford East","Labour"
"333","http://lda.data.parliament.uk/members/333.csv","Allen","Patrick","McLoughlin","Mr Patrick McLoughlin","1957-11-30","Male","Derbyshire Dales","Conservative"
"345","http://lda.data.parliament.uk/members/345.csv","Julian Egerton","Edward","Leigh","Sir Edward Leigh","1950-07-20","Male","Gainsborough","Conservative"
"1454","http://lda.data.parliament.uk/members/1454.csv","David","John","Pugh","John Pugh","1948-06-28","Male","Southport","Liberal Democrat"
"583","http://lda.data.parliament.uk/members/583.csv",NA,"Thomas","Clarke","Mr Tom Clarke","1941-01-10","Male","Coatbridge, Chryston and Bellshill","Labour"
"403","http://lda.data.parliament.uk/members/403.csv",NA,"Gerard","Sutcliffe","Mr Gerry Sutcliffe","1953-05-13","Male","Bradford South","Labour"
"4009","http://lda.data.parliament.uk/members/4009.csv",NA,"Brandon","Lewis","Brandon Lewis","1971-06-20","Male","Great Yarmouth","Conservative"
"1486","http://lda.data.parliament.uk/members/1486.csv",NA,"David","Anderson","Mr David Anderson","1953-12-02","Male","Blaydon","Labour"
"458","http://lda.data.parliament.uk/members/458.csv","Ann","Margaret","Coffey","Ann Coffey","1946-08-31","Female","Stockport","Labour"
"306","http://lda.data.parliament.uk/members/306.csv","William","Robert","Ainsworth","Mr Bob Ainsworth","1952-06-19","Male","Coventry North East","Labour"
"4118","http://lda.data.parliament.uk/members/4118.csv",NA,"Julian","Smith","Julian Smith","1971-08-30","Male","Skipton and Ripon","Conservative"
"280","http://lda.data.parliament.uk/members/280.csv","Louis David","Michael","Fabricant","Michael Fabricant","1950-06-12","Male","Lichfield","Conservative"
"1418","http://lda.data.parliament.uk/members/1418.csv",NA,"Thomas","Harris","Mr Tom Harris","1964-02-20","Male","Glasgow South","Labour"
"4135","http://lda.data.parliament.uk/members/4135.csv",NA,"David","Morris","David Morris","1966-01-03","Male","Morecambe and Lunesdale","Conservative"
"3985","http://lda.data.parliament.uk/members/3985.csv",NA,"Robert","Halfon","Robert Halfon","1969-03-22","Male","Harlow","Conservative"
"3912","http://lda.data.parliament.uk/members/3912.csv",NA,"Richard","Fuller","Richard Fuller","1962-05-30","Male","Bedford","Conservative"
"151","http://lda.data.parliament.uk/members/151.csv","Anthony","Thomas","Brake","Tom Brake","1962-05-06","Male","Carshalton and Wallington","Liberal Democrat"
"4075","http://lda.data.parliament.uk/members/4075.csv",NA,"Chris","Pincher","Christopher Pincher","1969-09-24","Male","Tamworth","Conservative"
"4113","http://lda.data.parliament.uk/members/4113.csv",NA,"Nadhim","Zahawi","Nadhim Zahawi","1967-06-02","Male","Stratford-on-Avon","Conservative"
"3936","http://lda.data.parliament.uk/members/3936.csv",NA,"Andrew","Griffiths","Andrew Griffiths","1970-10-19","Male","Burton","Conservative"
"3913","http://lda.data.parliament.uk/members/3913.csv",NA,"Jack","Dromey","Jack Dromey","1948-09-21","Male","Birmingham, Erdington","Labour"
"483","http://lda.data.parliament.uk/members/483.csv",NA,"Maria","Eagle","Maria Eagle","1961-02-17","Female","Garston and Halewood","Labour"
"410","http://lda.data.parliament.uk/members/410.csv","Hedley","Jon","Trickett","Jon Trickett","1950-07-02","Male","Hemsworth","Labour"
"197","http://lda.data.parliament.uk/members/197.csv",NA,"James","Fitzpatrick","Jim Fitzpatrick","1952-04-04","Male","Poplar and Limehouse","Labour"
"3995","http://lda.data.parliament.uk/members/3995.csv",NA,"Nick","Boles","Nick Boles","1965-11-02","Male","Grantham and Stamford","Conservative"
"1583","http://lda.data.parliament.uk/members/1583.csv","Carol","Lyn","Brown","Lyn Brown","1960-04-13","Female","West Ham","Labour"
"44","http://lda.data.parliament.uk/members/44.csv","Anthony Andrew","David","Amess","Mr David Amess","1952-03-26","Male","Southend West","Conservative"
